tree_id,species,latitude,longitude,elevation,soil_ph,soil_quality,rainfall_mm,temperature_c,wildfire_history,survival_rate
1,Pine,45.5234,-122.6762,350,6.5,Good,1200,15.5,No,0.92
2,Oak,45.5156,-122.6734,340,6.8,Excellent,1180,15.8,No,0.95
3,Fir,45.5298,-122.6801,365,6.2,Fair,1220,15.2,Yes,0.65
4,Cedar,45.5167,-122.6790,355,6.0,Good,1190,15.6,No,0.88
5,Maple,45.5289,-122.6723,345,7.0,Excellent,1210,15.9,No,0.94
6,Pine,45.5201,-122.6756,358,5.8,Poor,1150,16.1,Yes,0.52
7,Spruce,45.5245,-122.6778,362,6.4,Good,1205,15.4,No,0.89
8,Oak,45.5178,-122.6745,348,6.9,Excellent,1195,15.7,No,0.93
9,Fir,45.5312,-122.6812,370,6.1,Fair,1230,15.0,Yes,0.61
10,Birch,45.5190,-122.6767,352,6.6,Good,1175,15.5,No,0.87
